#{"t_start": 1686126025.4366808, "env_id": null}
r,l,t
-103.77707,47,0.275188
-112.58667,50,0.292723
-107.19201,61,0.353747
-110.60797,61,0.353804
-117.775345,61,0.353817
-104.647766,63,0.367826
-106.27144,73,0.423091
-106.98145,76,0.441111
-112.73952,78,0.454734
-104.042404,84,0.490589
-103.98943,90,0.522365
-111.65315,50,0.571783
-111.04233,48,0.617453
-111.37765,48,0.629932
-108.367355,57,0.665603
-118.20864,121,0.683838
-102.835014,76,0.696953
-105.555435,59,0.741909
-105.78476,60,0.772515
-102.71822,53,0.843893
-102.096664,73,0.866944
-103.21021,63,0.952365
-112.6115,70,1.021388
-115.360725,78,1.231487
-104.20294,77,1.2501
-102.92996,58,1.312741
-111.43713,74,1.681298
-100.04728,101,1.744569
-103.91375,64,1.999674
-229.73576,1540,7.577057
-113.49201,59,7.862872
-111.57063,1600,7.877595
-118.26221,1600,7.877637
-125.42136,1600,7.877649
-114.64032,1600,8.175096
-101.53404,70,8.223766
-117.67427,1600,8.257714
-102.72461,89,8.322623
-103.85348,1600,8.330821
-117.76303,1600,8.4273
-106.66023,50,8.483233
-101.278564,1600,8.491412
-114.699844,1600,8.504724
-103.04493,1600,8.55093
-107.25858,1600,8.582899
-101.263435,54,8.614008
-106.754776,72,8.635983
-108.6431,50,8.745584
-119.895226,1600,8.763904
-106.54351,88,8.781319
-107.44397,59,8.793989
-115.067184,58,8.806585
-114.0773,47,8.82885
-101.032326,73,8.924839
-111.69103,63,8.93781
-102.020325,47,9.005699
-97.67915,115,9.023331
-103.86876,78,9.036054
-101.61225,59,9.058248
-117.71216,1600,9.08103
-103.18147,69,9.272542
-119.81368,98,9.290401
-102.95079,46,9.308766
-115.034805,71,9.393173
-104.13514,1600,9.562894
-114.30612,73,9.635123
-114.43184,83,9.695833
-128.78244,1600,9.808189
-125.59868,167,9.829917
-126.750336,104,10.092358
-107.19536,54,10.125121
-123.58485,127,21.924744
-126.94129,112,22.032221
-115.62486,70,22.083185
-119.74308,68,22.106063
-101.218796,72,22.436291
-122.23364,92,22.48794
-125.58081,90,22.548654
-150.05022,815,25.927514
-108.572044,1600,27.442105
-112.19972,1600,27.450057
-104.19693,1600,27.737525
-104.050354,70,27.783096
-105.67418,75,27.805151
-107.3359,48,28.014293
-99.33842,70,28.140836
-103.45043,83,28.140893
-118.14719,1600,28.29438
-107.637344,60,28.302249
-108.70791,1600,28.31946
-116.06901,1600,28.340988
-111.77418,1600,28.44127
-107.03765,79,28.516178
-111.58538,1600,28.524004
-123.78552,1600,28.553977
-113.41972,71,28.660881
-119.51007,75,28.660942
-116.73718,1600,28.796868
-110.1003,51,28.805058
-115.47877,1600,28.884818
-101.341835,62,28.969668
-103.994316,58,29.093097
-100.881165,100,29.157589
-122.57494,1600,29.199542
-114.39985,82,29.294318
-109.65644,81,29.375397
-114.71987,66,29.531033
-121.96906,65,29.699646
-115.71776,61,29.835994
-114.75792,64,30.021712
-173.23401,840,30.048653
-121.168884,88,30.271518
-118.014275,1600,30.292633
-105.39174,1600,30.3463
-106.35302,1600,30.406388
-130.29912,241,30.503924
-121.32947,65,30.617258
-108.06729,68,30.68267
-101.23465,74,30.771552
-112.22376,65,30.936861
-102.81261,72,31.033861
-100.27042,111,31.052146
-111.09404,1600,47.561642
-112.82728,1600,47.724108
-98.25213,1600,47.760386
-123.66288,1600,47.887668
-108.867714,1600,47.965965
-113.48092,1600,47.974334
-98.82168,73,48.10764
-111.940315,67,48.22767
-116.700455,1600,48.263751
-113.38029,86,48.405928
-115.84321,1600,48.541711
-118.14245,90,48.55448
-107.023445,1600,48.607868
-109.93046,79,48.615876
-109.470764,89,48.691849
-99.168785,77,48.775746
-107.96242,45,48.825131
-104.98768,75,48.905373
-101.39242,75,48.970786
-105.49185,85,49.090554
-108.78333,74,49.247502
-107.737595,62,49.259661
-105.05948,1600,49.41624
-108.01365,1600,49.443675
-132.86208,140,49.485397
-116.04777,72,49.597056
-110.62113,1600,49.671805
-115.173416,107,49.776731
-114.22821,74,49.809197
-99.91612,77,49.864515
-120.86197,107,49.947824
-99.84401,84,50.01507
-111.86196,1600,50.163509
-106.83436,51,50.205482
-107.535164,43,50.232641
-118.84616,1600,50.33395
-103.06097,1600,50.435316
-125.69267,1600,50.453767
-104.09928,73,50.53417
-102.79806,163,50.599218
-103.237465,77,50.723412
-102.240654,183,50.732909
-101.37486,77,50.837864
-111.540985,51,51.013132
-101.82528,64,51.074438
-120.51251,70,51.202678
-110.823135,58,51.482701
-112.6373,66,51.811126
-106.87899,51,52.064406
-96.90347,92,52.494113
-107.94521,145,53.194244
-103.67609,1600,67.069273
-116.7121,1600,67.268011
-111.4885,59,67.357324
-119.76617,1600,67.45284
-102.20337,53,67.526148
-107.40905,72,67.701266
-111.11939,87,67.869942
-116.56387,73,67.878023
-103.373055,1600,68.021706
-113.801956,1600,68.240393
-110.53175,1600,68.555969
-124.282425,122,68.600238
-105.97417,117,68.78854
-110.46849,1600,69.119365
-109.87266,114,69.132642
-114.20932,1600,69.33841
