#{"t_start": 1686108018.3208802, "env_id": null}
r,l,t
-115.52948,45,0.537354
-107.29366,51,0.585763
-101.772675,56,0.627216
-118.78501,60,0.661588
-115.428406,64,0.697525
-114.387886,66,0.719779
-107.82868,66,0.71982
-100.57989,67,0.731256
-101.71053,71,0.764833
-101.8512,74,0.790147
-101.39035,75,0.800682
-104.044426,78,0.826028
-102.51688,85,0.885276
-106.41956,86,0.896318
-120.2389,88,0.914135
-106.86457,92,0.94692
-101.15913,94,0.965621
-122.35015,96,0.986218
-103.58368,96,0.98626
-117.5471,98,1.008053
-110.32965,47,1.008091
-105.07547,57,1.041384
-103.14776,108,1.092196
-110.73754,37,1.09224
-107.02513,59,1.224939
-110.308266,66,1.266124
-114.17729,65,1.276551
-111.503815,79,1.30961
-107.74059,51,1.320663
-101.02053,62,1.331239
-113.464066,40,1.342104
-117.99658,82,1.377006
-114.6978,82,1.492428
-111.400764,82,1.525795
-104.73525,70,1.59657
-124.97987,80,1.645927
-108.43322,54,1.734214
-106.356804,92,1.760843
-102.175064,65,1.858159
-119.84925,116,1.876513
-103.58062,72,1.977931
-104.1386,78,1.988416
-101.56708,63,2.05756
-118.118,103,2.101609
-102.23172,55,2.112423
-107.938675,66,2.15553
-120.01633,91,2.260063
-110.838974,57,2.466491
-102.6682,58,2.466541
-111.684326,41,2.49325
-124.90184,81,2.55967
-113.74163,58,2.59449
-124.29014,118,2.723156
-105.51463,80,2.76495
-110.2475,49,2.89883
-113.43783,50,2.979667
-108.07976,68,3.039093
-122.328064,136,3.191302
-104.789345,70,3.344597
-112.715744,63,3.49484
-111.05914,42,3.538132
-103.70158,82,4.011121
-217.85016,1416,11.759023
-111.12634,57,12.215959
-106.58858,48,12.61171
-229.79681,1538,12.747519
-218.84015,1304,13.055969
-126.26345,1600,13.280902
-115.73989,1600,13.280954
-117.05223,1600,13.280965
-117.27842,1600,13.280973
-91.66904,1600,13.28098
-107.74413,1600,13.280987
-120.59493,1600,13.280993
-106.18233,1600,13.280999
-108.378265,1600,13.281005
-109.93198,47,13.668146
-108.45669,54,13.725393
-100.01236,90,13.823604
-113.622444,1600,13.834702
-102.72346,73,13.885262
-115.22476,1600,14.01111
-118.591576,1600,14.049246
-112.59531,1600,14.086345
-216.15683,1591,14.115388
-107.307526,1600,14.147482
-116.53922,55,14.147533
-101.71909,103,14.159826
-229.39053,1519,14.194752
-126.253426,1600,14.205968
-112.98901,1600,14.383092
-123.24773,81,14.428851
-128.2732,1600,14.439887
-109.674484,1600,14.458693
-116.724045,72,14.516239
-109.13624,58,14.612774
-105.05029,64,14.685578
-97.466805,80,14.704524
-101.554436,70,14.738918
-114.316475,77,14.7494
-107.33985,87,14.801647
-108.53166,1600,14.97409
-109.23734,38,15.063544
-105.30826,78,15.090082
-106.56833,150,15.117187
-118.61335,86,15.174927
-109.21535,62,15.224612
-103.03135,129,15.243522
-114.175125,56,15.270158
-105.29029,78,15.343986
-121.0488,88,15.354565
-127.336235,1600,15.373441
-206.79091,1395,15.440386
-118.26476,52,15.541747
-111.72952,42,15.599166
-111.83839,100,15.599217
-105.99085,61,15.652569
-112.20977,54,15.718065
-116.079475,1600,15.729151
-120.33885,1600,15.858138
-101.34015,47,15.987796
-115.280106,73,15.998657
-123.47692,1600,16.033347
-96.05083,1600,16.163097
-102.52767,87,16.182364
-103.31964,123,16.225035
-106.58987,58,16.340358
-114.346664,96,16.352274
-114.43661,56,16.500671
-117.82821,66,16.55191
-112.27222,72,16.595514
-112.241516,1600,16.639745
-110.850784,1600,16.685959
-111.1073,55,16.697068
-116.56714,62,16.715888
-107.39984,48,16.757938
-105.98066,44,16.92644
-103.15448,66,17.055764
-111.251755,46,57.196585
-107.12933,52,57.231626
-106.709076,78,57.399652
-102.938286,67,57.418235
-112.33302,62,57.675675
-117.63626,61,57.735314
-101.22521,85,57.897287
-113.06114,77,58.520747
-170.82996,646,62.958496
-105.44745,113,63.890266
-117.43057,1600,65.969518
-110.70336,1600,66.108886
-115.26923,78,66.615786
-116.166794,1600,66.640177
-110.69891,1600,66.640222
-118.99254,1600,66.640235
-106.173294,1600,66.640244
-118.926285,1600,66.640251
-105.18637,72,66.72359
-104.48975,1600,67.175897
-103.60455,67,67.187291
-216.41907,1340,67.301884
-107.52406,1600,67.530648
-104.85772,1600,67.541997
-116.99004,57,67.665382
-100.52501,1600,67.724039
-100.79818,1600,67.767463
-96.38018,1600,67.851879
-111.32126,54,67.995921
-104.53971,90,68.063669
-111.33154,59,68.25695
-110.20994,50,68.26834
-105.62769,1600,68.31146
-102.31355,1600,68.401808
-118.330246,100,68.502137
-107.940125,1600,68.604464
-109.39984,71,68.654824
-112.389404,49,68.67433
-110.140015,1600,68.686135
-101.6998,1600,68.697594
-94.97191,1600,68.920785
-108.18385,66,68.962989
-107.00638,1600,68.977046
-110.70928,55,68.977084
-115.63079,49,69.031725
-100.057236,89,69.031773
-107.99383,1600,69.052477
-96.99377,1600,69.064805
-116.65138,68,69.242092
-112.20583,46,69.435175
-112.6918,64,69.579057
-105.29556,69,69.607032
-113.310684,50,69.66103
-101.14112,1600,69.690857
-122.02949,1600,69.925519
-119.94334,115,69.99133
-110.967026,1600,70.02007
-108.94715,71,70.046778
-105.51687,50,70.113132
-112.1422,70,70.251596
-99.974976,1600,70.262685
-104.298645,67,70.488091
-110.37236,67,70.57311
-107.84632,1600,70.623725
-103.25041,1600,70.643186
-107.872345,74,70.731989
-106.96686,1600,70.973454
-115.74586,66,71.046922
-125.55205,98,71.081519
-102.94779,55,71.109184
-113.411835,52,71.516635
-101.393845,71,71.640197
-104.15867,1600,71.786525
-116.120605,68,72.211151
-102.3507,1600,117.299428
-88.72868,1600,120.040848
-90.40793,1600,120.061399
-102.59918,1600,120.061445
-101.819466,1600,120.061465
-100.91531,1600,120.061473
-93.284164,1600,120.145977
-112.52572,56,120.515898
-116.0784,1600,120.606442
-107.573845,61,120.641185
-110.60024,76,120.679284
-107.440575,78,120.709189
-100.45635,1600,120.944957
-97.30166,1600,121.13938
-105.16041,62,121.166397
-121.22964,80,121.345728
-102.71158,1600,121.409695
-96.46586,1600,121.7282
-118.50024,69,121.747041
-86.85186,1600,122.086191
-97.584526,1600,122.097531
-99.6271,1600,122.108971
-101.511925,1600,122.334994
-103.50692,1600,122.380437
-106.49308,1600,122.395337
-92.77216,1600,122.395387
-103.57448,75,122.731217
-121.76528,123,122.76721
-108.45475,68,122.952605
-104.61702,1600,122.997239
-97.73469,1600,123.024901
-122.14899,82,123.083176
-108.589355,49,123.365761
-102.51551,73,123.385132
-90.841805,1600,123.411943
-98.71306,1600,123.455025
-96.15254,1600,123.664861
-109.30177,82,123.716013
-109.134865,40,123.727047
-109.31828,77,123.738001
-103.13631,100,123.845078
-103.62487,52,123.85601
-99.2304,1600,123.997239
-99.742874,1600,124.051999
-115.28063,86,124.103148
-103.853775,1600,124.158256
-112.18298,56,124.229335
-111.99374,97,124.300121
-109.46084,67,124.310898
-105.70799,70,124.345456
-93.81634,1600,124.423129
-118.98554,64,124.42318
-89.10362,1600,124.560396
-104.08195,56,124.603963
-110.01526,69,124.885346
-106.15682,66,124.897482
-102.579956,1600,124.966703
-109.82869,83,125.001556
-115.03706,58,125.045152
-123.90287,111,125.110766
-106.511635,75,125.224017
-103.076675,1600,125.236163
-98.75846,1600,125.654361
-118.65265,98,125.711226
-100.01374,88,125.738586
-124.06925,102,126.078387
-106.85496,59,126.227906
-107.51987,93,126.434627
-99.15069,61,126.737053
-102.08665,62,126.950273
-103.19604,107,126.969865
-115.14423,52,127.16527
-111.42445,59,127.434672
-107.9891,1600,130.661484
-102.430145,69,131.241243
-102.03309,1600,173.439454
-93.821075,1600,173.439506
-92.51593,1600,173.928022
-97.08429,1600,174.031535
-113.61574,67,174.031586
-101.71024,1600,174.13298
-98.93833,1600,174.373879
-102.66662,65,174.494922
-94.72117,1600,174.575297
-100.72204,76,174.689975
-98.00726,1600,174.79493
-101.14647,1600,174.856244
-100.83124,60,174.900759
-102.74464,80,175.183084
-104.202576,1600,175.195022
-108.275185,81,175.385972
-101.36117,58,175.396743
-98.72739,77,175.456676
-95.03963,1600,175.548388
-94.006,1600,175.567828
-105.80918,67,175.770536
-93.583565,1600,175.798778
-98.64483,1600,175.852192
-104.83405,68,175.968239
-100.673515,78,176.062886
-102.13923,109,176.126244
-95.01712,1600,176.202661
-115.7095,60,176.359061
-103.46777,97,176.586865
-102.34333,76,176.606496
-100.64062,57,176.673573
-116.13553,69,176.700741
-118.52646,94,176.854576
-115.392555,49,177.106459
-90.628296,1600,177.118224
-100.260155,78,177.245001
-96.9743,1600,177.297487
-96.6241,1600,177.444647
-105.07608,72,177.455895
-100.66281,1600,177.50291
-99.94528,1600,177.662276
-106.09188,65,177.850155
-91.16695,1600,177.850204
-89.554535,1600,177.850216
-101.965385,107,178.029991
-99.7745,95,178.257506
-97.57666,1600,178.340647
-95.33914,1600,178.40746
-95.034195,1600,178.483304
-94.39839,1600,178.55117
-102.89649,85,178.57818
-97.91406,1600,178.684175
-100.84466,69,178.851338
-100.01596,57,178.894199
-81.41901,1600,179.164509
-83.18844,1600,180.423016
-79.86674,1600,180.621352
-88.30026,1600,180.904588
-90.43974,1600,184.708445
-116.11789,52,185.139868
-81.00712,1600,186.939126
-78.10149,1600,187.490229
-86.48574,1600,187.583124
-104.17353,110,187.849726
-87.95513,1600,188.020568
-103.29149,73,188.195445
-90.007126,1600,188.287858
-87.40018,1600,229.194169
-100.769424,74,229.234626
-100.00371,107,229.246631
-87.45141,1600,229.300832
-80.83839,1600,229.320501
-76.87833,1600,229.544414
-113.26223,45,229.621748
-107.98174,68,229.865945
-103.13706,84,229.956095
-81.49677,1600,230.104313
-91.65086,1600,230.353154
-111.581116,53,230.405772
-86.98718,1600,230.425822
-78.98632,1600,230.865421
-77.70926,1600,231.000909
-86.52984,1600,231.214684
-93.52932,1600,231.263587
-95.88772,1600,231.427855
-86.67996,1600,231.620144
-86.88869,1600,231.620195
-115.73046,52,231.718472
-81.03055,1600,231.801622
-108.90689,94,232.031372
-88.03769,1600,232.108334
-74.07949,1600,232.250611
-90.79762,1600,232.319318
-86.0376,1600,232.346783
-82.84714,1600,232.446798
-106.07639,99,232.466296
-88.29354,1600,232.615893
-79.03179,1600,232.662644
-105.75954,111,232.662693
-82.661896,1600,232.930965
-98.83188,61,232.984615
-103.750854,49,233.039023
-102.83514,72,233.068888
-102.176254,104,233.148234
-113.83439,53,233.38668
-101.32387,64,233.52972
-104.519196,106,233.566173
-101.5342,74,233.774529
-112.87535,68,233.963337
-110.92158,36,234.072189
-82.22572,1600,234.214901
-85.30665,1600,234.420518
-81.45447,1600,234.694986
-109.04955,77,234.723567
-101.73426,63,234.946682
-104.56597,84,235.398613
-74.8189,1600,238.973273
-71.10774,1600,241.28761
-79.70464,1600,241.650934
-75.03564,1600,241.998693
-112.782166,57,242.133186
-77.466255,1600,242.675571
-70.50401,1600,242.785263
-65.00049,1600,243.012879
-80.477745,1600,243.09032
-68.85993,1600,243.341067
-102.154305,85,243.392283
-79.675896,1600,243.56637
-71.43251,1600,243.818228
-103.86696,100,243.853791
-76.44426,1600,243.873051
-79.25297,1600,243.894378
-71.68439,1600,244.320814
-116.35545,63,244.39652
-61.915962,1600,244.45724
-75.38372,1600,244.862984
-101.71257,75,245.021787
-81.42341,1600,245.050802
-76.84285,1600,245.236524
-76.93552,1600,245.470631
-79.28055,1600,245.553219
-83.70666,1600,245.767269
-90.67133,1600,245.79789
-66.359566,1600,246.114184
-71.59411,1600,286.734221
-76.58583,1600,286.762969
-103.47106,97,286.869423
-78.85669,1600,287.212174
-60.699284,1600,287.24771
-108.74015,87,287.456113
-71.94262,1600,287.639119
-115.97796,60,287.714533
-81.372284,1600,287.88756
-104.55458,77,288.351466
