#{"t_start": 1686151644.842437, "env_id": null}
r,l,t
-112.554596,44,1.370314
-112.79127,52,1.441197
-116.96933,57,1.485749
-111.82182,59,1.505735
-112.411766,62,1.533332
-101.09189,64,1.552341
-103.12836,72,1.620831
-117.079384,76,1.659575
-100.05978,76,1.659627
-103.12405,81,1.703792
-103.57963,83,1.723491
-110.0676,85,1.7452
-105.40174,86,1.756508
-117.12284,88,1.779067
-114.5994,88,1.77911
-102.69974,91,1.806601
-115.70679,100,1.887356
-110.02865,56,1.887413
-102.56293,106,1.939349
-120.34616,109,1.966707
-119.32335,110,1.977867
-101.32563,112,1.997336
-111.00537,54,2.008693
-114.59355,62,2.101909
-98.61283,76,2.137745
-109.08064,57,2.149045
-116.00728,59,2.201073
-126.55209,146,2.295551
-101.4999,66,2.324166
-100.91013,88,2.353705
-102.334724,71,2.416232
-117.72966,74,2.427727
-113.829666,63,2.456508
-99.28328,77,2.476105
-113.11128,61,2.561093
-119.75324,92,2.590323
-121.473045,86,2.669237
-122.74628,114,2.705797
-120.169044,105,2.759475
-102.65096,75,2.788545
-106.31258,65,2.803475
-105.93676,94,2.803529
-102.537384,42,2.818282
-107.04762,48,2.90702
-106.316154,68,3.054924
-105.41209,117,3.066445
-120.899475,114,3.189373
-102.68726,60,3.218286
-101.35703,99,3.238598
-100.40711,52,3.267807
-119.286674,78,3.279839
-108.80654,94,3.448506
-107.02379,74,3.478947
-110.296135,41,3.569233
-111.86133,48,3.675913
-113.8418,108,3.696816
-103.894356,106,3.734464
-119.48032,88,3.867251
-101.070656,68,3.890495
-102.86222,137,4.058561
-122.51138,92,4.113274
-101.64726,71,4.311618
-98.54374,94,4.323187
-102.12131,81,4.420638
-125.6907,88,4.515936
-120.47297,95,4.890476
-121.03343,81,5.037825
-122.52105,108,5.412807
-109.52755,58,5.949394
-106.021545,59,6.470341
-116.4149,75,7.132866
-169.54504,656,7.639123
-168.11597,613,7.885338
-174.94803,797,10.545628
-108.33411,41,10.933064
-103.5871,71,11.554758
-101.407845,52,12.019199
-107.385765,40,12.405016
-124.02264,1600,15.531388
-104.46894,1600,15.531461
-122.452324,1600,15.531475
-113.13281,1600,15.531483
-114.894165,1600,15.531503
-113.601234,1600,15.531511
-115.36934,1600,15.531518
-110.024124,1600,15.531525
-112.32009,1600,15.531532
-121.38358,1600,15.531539
-107.25571,54,16.013984
-100.97108,55,16.025897
-124.7651,1600,16.046693
-118.829666,74,16.199341
-100.80251,88,16.323352
-104.62195,93,16.370318
-101.78651,54,16.506961
-120.85356,1600,16.519144
-118.20012,1600,16.531433
-119.46975,1600,16.69551
-109.134834,63,16.775964
-98.40286,89,16.839345
-116.41429,1600,16.863119
-99.165344,1600,17.043487
-110.77053,63,17.106072
-108.227196,59,17.240832
-105.67761,1600,17.355719
-109.04416,1600,17.453134
-110.12977,48,17.473525
-105.47165,1600,17.605844
-108.432785,65,17.930653
-112.599205,1600,17.986815
-119.68756,94,18.079562
-229.64883,1515,18.101466
-111.5769,1600,18.113677
-115.532875,72,18.126163
-122.52599,81,18.199522
-114.8354,1600,18.424146
-114.56396,1600,18.444661
-111.36632,54,18.499032
-107.207924,1600,18.668317
-102.04909,67,18.745168
-106.31,52,18.904633
-101.98563,86,18.9047
-100.156555,80,18.93718
-137.4807,380,19.014393
-114.77382,65,19.054521
-106.78615,1600,19.112257
-107.73319,71,19.345002
-106.2297,146,19.454599
-112.10185,1600,19.509298
-104.97303,54,19.521431
-119.5357,67,19.541701
-121.49403,71,19.610048
-212.85316,1278,19.610788
-108.01941,78,19.650021
-121.198265,1600,19.665101
-101.20759,64,19.665144
-101.50928,72,63.027575
-102.31515,64,63.19047
-103.902534,58,63.302742
-118.53401,57,63.302818
-112.30493,53,63.350631
-112.00886,61,63.366464
-110.21312,49,63.366539
-101.76944,56,63.44154
-102.17902,69,63.518905
-115.761536,71,63.573654
-113.17577,85,63.821244
-104.619934,55,63.926852
-106.99843,67,63.97292
-104.57743,89,64.113089
-101.166985,82,64.647589
-111.2028,1600,64.978977
-110.153824,56,65.138439
-116.93303,1600,65.487684
-99.80192,92,65.782968
-110.91632,43,66.1955
-106.09215,72,66.879948
-106.84925,80,67.608341
-101.48658,1600,70.09773
-116.99357,1600,73.244699
-108.75267,1600,73.244773
-103.82651,1600,73.244788
-105.59221,1600,73.244807
-104.266685,52,73.698229
-104.80765,1600,73.745703
-103.90756,58,73.757853
-99.31657,1600,74.022929
-103.62677,1600,74.07
-106.62343,1600,74.201513
-108.87727,1600,74.222134
-106.43119,1600,74.459143
-97.18986,92,74.52554
-118.32013,1600,74.525602
-106.31262,1600,74.546231
-110.60341,151,74.593835
-101.94355,52,74.692129
