#{"t_start": 1686442579.2021263, "env_id": null}
r,l,t
-107.83168,39,0.634113
-102.995026,42,0.663877
-110.54909,51,0.746932
-101.15921,52,0.759125
-99.437256,55,0.787657
-113.326035,56,0.799371
-103.9357,59,0.829677
-107.354126,64,0.877714
-101.958595,71,0.943341
-117.7789,72,0.954712
-104.11148,73,0.966582
-107.05821,78,1.018082
-119.57642,78,1.018144
-117.62297,80,1.039884
-100.64487,84,1.082755
-115.055534,84,1.082812
-99.106834,85,1.09498
-104.34485,86,1.109796
-101.18419,86,1.109837
-117.42684,51,1.175755
-112.67527,55,1.188924
-118.56668,97,1.220942
-110.616776,69,1.42644
-110.04197,49,1.446667
-114.78809,52,1.458953
-113.37497,68,1.471678
-109.18695,43,1.521822
-98.80373,78,1.534294
-119.175476,131,1.546838
-107.01136,65,1.654882
-110.3651,63,1.694407
-125.79468,155,1.767663
-96.9267,99,1.843714
-120.31171,79,1.866195
-103.65908,94,1.941512
-114.040955,52,1.941571
-104.15304,84,1.992641
-106.26611,57,2.034256
-115.43744,93,2.093694
-116.64232,103,2.093754
-125.64393,71,2.153389
-117.202835,67,2.184715
-110.47545,76,2.216321
-103.60829,72,2.364045
-109.31494,51,2.377156
-114.46702,59,2.519057
-106.75923,104,2.550412
-100.670654,61,2.678814
-117.56551,62,2.691471
-105.58093,66,2.782775
-99.228195,91,2.867398
-109.81576,51,2.997322
-102.29488,69,3.029153
-125.67624,115,3.050915
-100.606544,77,3.100906
-118.321014,124,3.383729
-117.8725,67,3.413446
-111.49044,55,3.543777
-108.04549,101,3.62858
-101.40773,67,3.679091
-120.787094,101,3.820863
-107.549446,49,4.009611
-121.0994,98,4.02269
-121.73589,72,4.07119
-105.144394,100,4.764329
-121.85989,124,5.905915
-194.66632,1246,12.926405
-213.52856,1283,12.991434
-208.62671,1184,13.079467
-110.013596,56,13.595379
-111.42717,1600,15.482588
-105.25365,1600,15.482647
-110.65404,1600,15.482659
-125.5215,1600,15.482667
-115.456406,1600,15.482675
-111.483406,1600,15.482682
-105.57592,1600,15.482689
-99.559235,1600,15.482696
-115.50724,1600,15.482702
-109.8637,1600,15.482709
-101.72513,1600,16.027021
-105.80107,60,16.040414
-118.67912,63,16.072903
-103.09541,70,16.142697
-117.39556,1600,16.164319
-100.177124,73,16.17784
-120.82235,79,16.238356
-99.013794,1600,16.251806
-106.01849,83,16.283877
-117.50126,1600,16.415234
-118.35039,1600,16.734218
-108.08429,69,16.747703
-122.6167,82,16.833814
-99.711205,69,16.847114
-112.626366,1600,16.901712
-128.96858,147,16.901771
-103.37792,1600,16.977469
-98.45851,78,16.999551
-104.76636,88,17.012571
-101.25553,78,17.171942
-100.77624,1600,17.230339
-105.77415,113,17.269794
-116.97869,105,17.29957
-107.43987,54,17.366714
-112.87766,1600,17.379951
-102.56204,47,17.436865
-111.05059,59,17.486425
-123.64504,69,17.538367
-109.51961,1600,17.758019
-103.1718,60,17.890623
-122.74436,1600,17.904268
-100.29956,67,18.037901
-102.40772,56,18.076929
-109.07771,76,18.178542
-100.821815,106,18.210134
-106.462166,1600,18.223586
-123.49737,130,18.272034
-99.57977,111,18.321834
-103.18388,103,18.381987
-116.43645,1600,18.648998
-103.3798,77,18.649069
-116.61042,92,18.78276
-104.448074,114,18.862813
-123.43804,1600,18.875383
-98.550026,1600,18.925967
-122.14168,84,19.00861
-104.146614,68,19.049374
-102.89268,86,19.168439
-120.75491,105,19.268868
-105.926735,1600,19.29515
-120.64998,1600,19.310559
-120.44038,1600,19.367648
-98.58903,79,19.485414
-116.605064,62,19.533546
-122.09686,101,63.058377
-111.68316,65,63.08015
-123.16843,91,63.092587
-102.97431,65,63.105343
-106.81937,46,63.12725
-126.42864,140,63.222822
-125.24776,112,63.222883
-108.470436,80,63.309733
-99.880905,97,63.309798
-112.09752,37,63.419388
-102.90808,56,63.634102
-115.824486,81,63.85413
-107.79952,65,63.910929
-113.62425,122,64.222332
-109.74963,101,64.351483
-112.660545,1600,64.400996
-102.26417,91,64.476468
-111.946,49,64.676726
-108.77082,45,64.81032
-119.1502,105,64.822825
-121.433365,105,64.880729
-108.93952,57,65.000991
-107.397835,57,65.399681
-116.715836,72,65.474326
-102.48052,133,65.884853
-108.31221,71,66.518694
-108.487724,1600,71.012181
-91.117,1600,71.077909
-99.07049,1600,71.655584
-105.22014,75,71.685254
-100.06459,1600,73.399719
-103.02619,1600,73.399788
-114.17952,1600,73.399803
-112.252144,1600,74.010577
-107.61028,70,74.11544
-101.50622,1600,74.218112
-103.61599,88,74.302897
-112.99311,45,74.471336
-110.65222,1600,74.727947
-105.80131,1600,74.740587
-97.52348,1600,74.875895
-115.95438,1600,74.980728
-104.96075,83,75.10449
-116.38154,1600,75.233926
-103.0272,91,75.334705
-109.33136,1600,75.430567
-110.624466,81,75.50456
-105.166,56,75.516399
-116.27937,1600,75.96131
-116.742645,67,75.961368
-100.81015,53,75.99424
-112.65485,1600,76.007703
-102.821,1600,76.139266
-95.06145,1600,76.195595
-99.0637,78,76.245304
-107.05692,51,76.443727
-104.975204,66,76.61696
-104.39718,57,76.66577
-105.55681,1600,76.6877
-112.1057,49,76.897146
-104.80515,1600,76.927674
-108.494064,85,76.984785
-104.65815,176,77.076149
-107.093025,53,77.115912
-110.385216,1600,77.156573
-112.14046,60,77.231052
-100.08356,1600,77.296317
-105.62467,116,77.32829
-103.259926,74,77.388283
-103.65314,1600,77.775579
