#{"t_start": 1685384530.0619056, "env_id": null}
r,l,t
-107.23116,55,0.558274
-107.91306,57,0.56891
-99.5512,61,0.5874
-113.06189,66,0.609088
-101.448395,76,0.652455
-120.9395,76,0.652478
-108.356285,41,0.739805
-107.86893,46,0.897347
-123.69468,124,0.908269
-104.593155,68,0.950422
-122.09828,136,0.961179
-99.253845,83,0.971981
-106.053154,99,1.060313
-101.50979,68,1.351188
-100.28075,102,1.402629
-104.22454,110,1.421458
-99.54791,81,1.763736
-110.319115,90,1.78671
-102.977066,67,2.040124
-113.280106,77,2.156412
-108.15366,88,2.516402
-101.029854,127,2.624326
-112.69479,46,2.820578
-121.9929,93,3.224669
-103.26139,82,3.570583
-100.22653,84,3.918949
-112.88109,61,4.168169
-204.6766,1317,6.253774
-100.55213,80,6.586004
-135.07527,1600,7.133849
-112.05989,1600,7.133908
-104.34642,1600,7.133919
-118.17557,1600,7.133926
-110.57867,1600,7.133933
-120.16202,1600,7.133939
-113.07827,1600,7.133948
-115.11334,1600,7.133954
-108.85382,51,7.34358
-103.47085,52,7.350213
-102.550995,92,7.512944
-123.22179,94,7.523583
-113.33037,1600,7.542322
-100.54497,65,7.625641
-116.6015,1600,7.64825
-111.61814,1600,7.659365
-106.13903,1600,7.710177
-110.16588,47,7.748228
-100.61906,70,7.818422
-103.84334,69,7.8252
-102.50883,59,8.000452
-95.64666,76,8.03546
-122.702675,1600,8.101498
-117.45994,130,8.20925
-110.52118,52,8.316561
-101.3872,68,8.499278
-111.24327,46,8.518045
-109.90272,53,8.734932
-114.8521,65,8.772794
-104.02524,64,18.899215
-115.07374,1600,19.083158
-105.01575,104,19.332493
-101.03452,66,19.359819
-101.0021,88,19.711879
-119.50554,1600,20.721515
-116.40631,52,20.942844
-112.684204,56,21.172196
-105.932,58,21.413927
-114.124435,1600,23.153086
-115.25062,63,23.422454
-119.25519,1600,23.699015
-107.07301,1600,23.699069
-109.5443,1600,23.69908
-105.8437,1600,23.699088
-100.20362,93,23.823201
-107.31315,1600,23.913972
-109.0446,70,23.992764
-101.74409,98,24.106871
-108.828545,59,24.163903
-127.38032,1600,24.195121
-120.92405,1600,24.218053
-111.9599,1600,24.382223
-110.55144,1600,24.389292
-104.73267,98,24.412443
-117.74959,68,24.481807
-116.131676,67,24.502021
-106.040054,38,24.548337
-103.659065,1600,24.575802
-116.62015,1600,24.610666
-117.65255,85,24.77664
-102.91015,59,24.81963
-115.385544,81,24.850106
-123.642075,112,24.872592
-107.057526,48,25.065016
-110.57512,63,25.087718
-100.18483,62,25.173092
-126.01687,1600,25.34473
-116.95385,66,25.359469
-121.84264,101,25.522539
-105.365135,66,25.657293
-109.40689,60,25.767517
-100.511345,69,26.057019
-117.2524,105,26.096614
-117.31974,1600,26.144726
-122.711044,191,26.196418
-102.83486,46,26.360441
-101.53729,57,26.360506
-109.62161,1600,26.515478
-119.04431,87,26.585872
-103.75433,72,26.667209
-103.49404,72,26.667242
-113.77475,75,27.006951
-113.430565,69,27.295263
-101.56001,77,37.456071
-99.84594,1600,38.093527
-222.76236,1428,40.116089
-102.30883,1600,40.373413
-112.08188,1600,40.37344
-108.76174,63,40.385349
-117.72513,1600,40.500698
-105.32381,64,40.643513
-115.79002,92,40.765166
-112.65676,1600,40.788224
-110.737785,112,40.912621
-101.631546,90,41.083073
-113.76899,1600,41.210279
-120.07574,1600,41.274132
-103.088135,1600,41.331876
-107.87546,66,41.49314
-125.33641,98,41.499938
-111.43747,1600,41.574911
-104.21774,75,41.644815
-127.875595,1600,41.855011
-105.369484,97,42.303658
-103.0629,63,42.563594
-114.46891,1600,42.752044
-113.89305,93,42.955401
-103.75012,76,43.072693
-108.590515,50,43.167771
-120.04259,1600,43.18275
-109.95584,1600,43.25295
-121.51092,1600,43.33211
-103.69291,81,43.410683
-114.54862,63,43.44617
-105.99428,70,43.555457
-128.2443,99,43.604428
-108.36448,74,43.651097
-109.92034,78,43.745372
-115.50088,79,43.771717
-115.99594,56,43.923908
-104.64377,94,44.036169
-103.548744,89,44.181391
-113.91448,1600,44.311957
-102.09552,65,44.467735
-113.77209,42,44.494707
-105.10939,79,44.796603
-108.25069,1600,44.946111
-117.3015,72,45.09562
-121.15384,77,45.414298
-116.86328,1600,57.212192
-104.97043,1600,57.47397
-116.69343,1600,57.498058
-103.38495,1600,57.569056
-114.89851,1600,57.932684
-97.48302,1600,58.153809
-123.414154,1600,58.161055
-115.503006,1600,58.237483
-109.79053,1600,58.310135
-112.711815,44,58.427339
-103.12354,69,58.457952
-109.97724,1600,60.169343
-105.95505,1600,60.367393
-111.539085,57,60.425186
-96.30045,1600,60.527361
-110.33143,1600,60.638471
-107.28853,70,60.725286
-107.68516,56,60.763956
-184.4866,776,60.783233
-100.023834,59,60.889717
-100.588036,66,61.011531
-97.542114,1600,61.09073
-122.63954,90,61.267263
-104.42444,1600,61.543333
-116.91396,116,61.574839
-121.73506,56,61.814924
-99.445625,70,61.846737
-112.393234,1600,62.043502
-111.81137,51,62.050587
-116.78312,81,62.384284
-115.274216,1600,64.001684
-112.9334,64,64.263836
-115.2764,1600,64.287186
-107.017715,1600,64.352611
-101.886826,67,64.568691
-117.0214,1600,74.587955
-106.40726,55,74.677964
-94.46173,1600,74.80752
